------------------------------------------------------------------------------------------------------------------------------------------------
TRAINING NEURAL NETWORK
------------------------------------------------------------------------------------------------------------------------------------------------
Epoch:55, Time:0ms, TrainError:0.19211568, TrainErrorChange:-0.0010511428, TrainAccuracy: 0.9370529
Epoch:56, Time:1ms, TrainError:0.19109656, TrainErrorChange:-0.0010191202, TrainAccuracy: 0.9370529
Epoch:57, Time:1ms, TrainError:0.19010817, TrainErrorChange:-9.88394E-4, TrainAccuracy: 0.93848354
Epoch:58, Time:1ms, TrainError:0.18914884, TrainErrorChange:-9.5932186E-4, TrainAccuracy: 0.93991417
Epoch:59, Time:1ms, TrainError:0.18821725, TrainErrorChange:-9.315908E-4, TrainAccuracy: 0.93991417
Epoch:60, Time:1ms, TrainError:0.18731211, TrainErrorChange:-9.0514123E-4, TrainAccuracy: 0.93991417
Epoch:61, Time:1ms, TrainError:0.18643206, TrainErrorChange:-8.800477E-4, TrainAccuracy: 0.93991417
Epoch:62, Time:0ms, TrainError:0.18557593, TrainErrorChange:-8.561313E-4, TrainAccuracy: 0.93991417
Epoch:63, Time:0ms, TrainError:0.18474276, TrainErrorChange:-8.331686E-4, TrainAccuracy: 0.9413448
Epoch:64, Time:0ms, TrainError:0.18393154, TrainErrorChange:-8.112192E-4, TrainAccuracy: 0.9413448
Epoch:65, Time:0ms, TrainError:0.1831411, TrainErrorChange:-7.90447E-4, TrainAccuracy: 0.9413448
Epoch:66, Time:1ms, TrainError:0.18237098, TrainErrorChange:-7.701218E-4, TrainAccuracy: 0.9413448
Epoch:67, Time:1ms, TrainError:0.18161972, TrainErrorChange:-7.5125694E-4, TrainAccuracy: 0.94277537
Epoch:68, Time:1ms, TrainError:0.18088725, TrainErrorChange:-7.324666E-4, TrainAccuracy: 0.9413448
Epoch:69, Time:1ms, TrainError:0.1801723, TrainErrorChange:-7.149577E-4, TrainAccuracy: 0.9413448
Epoch:70, Time:1ms, TrainError:0.17947425, TrainErrorChange:-6.980449E-4, TrainAccuracy: 0.9413448
Epoch:71, Time:1ms, TrainError:0.1787926, TrainErrorChange:-6.816536E-4, TrainAccuracy: 0.9413448
Epoch:72, Time:1ms, TrainError:0.17812663, TrainErrorChange:-6.659627E-4, TrainAccuracy: 0.9413448
Epoch:73, Time:1ms, TrainError:0.17747568, TrainErrorChange:-6.509572E-4, TrainAccuracy: 0.9413448
Epoch:74, Time:1ms, TrainError:0.17683919, TrainErrorChange:-6.364882E-4, TrainAccuracy: 0.9413448
Epoch:75, Time:0ms, TrainError:0.17621663, TrainErrorChange:-6.225556E-4, TrainAccuracy: 0.9413448
Epoch:76, Time:0ms, TrainError:0.1756077, TrainErrorChange:-6.0893595E-4, TrainAccuracy: 0.9413448
Epoch:77, Time:0ms, TrainError:0.17501156, TrainErrorChange:-5.9613585E-4, TrainAccuracy: 0.9413448
Epoch:78, Time:0ms, TrainError:0.17442824, TrainErrorChange:-5.8332086E-4, TrainAccuracy: 0.9413448
Epoch:79, Time:0ms, TrainError:0.17385675, TrainErrorChange:-5.7148933E-4, TrainAccuracy: 0.9413448
Epoch:80, Time:0ms, TrainError:0.1732969, TrainErrorChange:-5.598515E-4, TrainAccuracy: 0.9413448
Epoch:81, Time:0ms, TrainError:0.17274848, TrainErrorChange:-5.4842234E-4, TrainAccuracy: 0.9413448
Epoch:82, Time:1ms, TrainError:0.17221092, TrainErrorChange:-5.375594E-4, TrainAccuracy: 0.9413448
Epoch:83, Time:1ms, TrainError:0.17168373, TrainErrorChange:-5.271882E-4, TrainAccuracy: 0.9413448
Epoch:84, Time:1ms, TrainError:0.17116682, TrainErrorChange:-5.169064E-4, TrainAccuracy: 0.94277537
Epoch:85, Time:1ms, TrainError:0.1706598, TrainErrorChange:-5.070269E-4, TrainAccuracy: 0.94277537
Epoch:86, Time:1ms, TrainError:0.17016236, TrainErrorChange:-4.9743056E-4, TrainAccuracy: 0.94277537
Epoch:87, Time:1ms, TrainError:0.16967413, TrainErrorChange:-4.8823655E-4, TrainAccuracy: 0.94277537
Epoch:88, Time:1ms, TrainError:0.16919494, TrainErrorChange:-4.7919154E-4, TrainAccuracy: 0.94277537
Epoch:89, Time:1ms, TrainError:0.16872421, TrainErrorChange:-4.7072768E-4, TrainAccuracy: 0.94277537
Epoch:90, Time:1ms, TrainError:0.16826223, TrainErrorChange:-4.619807E-4, TrainAccuracy: 0.94277537
Epoch:91, Time:1ms, TrainError:0.16780828, TrainErrorChange:-4.5394897E-4, TrainAccuracy: 0.94277537
Epoch:92, Time:1ms, TrainError:0.16736224, TrainErrorChange:-4.4603646E-4, TrainAccuracy: 0.94277537
Epoch:93, Time:1ms, TrainError:0.16692393, TrainErrorChange:-4.3831766E-4, TrainAccuracy: 0.94277537
Epoch:94, Time:1ms, TrainError:0.16649306, TrainErrorChange:-4.3086708E-4, TrainAccuracy: 0.94277537
Epoch:95, Time:0ms, TrainError:0.1660695, TrainErrorChange:-4.235655E-4, TrainAccuracy: 0.94277537
Epoch:96, Time:0ms, TrainError:0.16565305, TrainErrorChange:-4.1644275E-4, TrainAccuracy: 0.94277537
Epoch:97, Time:0ms, TrainError:0.16524333, TrainErrorChange:-4.0972233E-4, TrainAccuracy: 0.94277537
Epoch:98, Time:1ms, TrainError:0.16484042, TrainErrorChange:-4.029125E-4, TrainAccuracy: 0.94277537
Epoch:99, Time:1ms, TrainError:0.16444413, TrainErrorChange:-3.9628148E-4, TrainAccuracy: 0.944206
Epoch:100, Time:1ms, TrainError:0.16405416, TrainErrorChange:-3.899783E-4, TrainAccuracy: 0.944206
Epoch:101, Time:0ms, TrainError:0.16367012, TrainErrorChange:-3.8403273E-4, TrainAccuracy: 0.944206
Epoch:102, Time:0ms, TrainError:0.16329238, TrainErrorChange:-3.7774444E-4, TrainAccuracy: 0.944206
Epoch:103, Time:0ms, TrainError:0.16292033, TrainErrorChange:-3.720522E-4, TrainAccuracy: 0.944206
Epoch:104, Time:0ms, TrainError:0.16255407, TrainErrorChange:-3.6625564E-4, TrainAccuracy: 0.944206
Epoch:105, Time:1ms, TrainError:0.16219346, TrainErrorChange:-3.606081E-4, TrainAccuracy: 0.944206
Epoch:106, Time:1ms, TrainError:0.16183814, TrainErrorChange:-3.553182E-4, TrainAccuracy: 0.944206
Epoch:107, Time:1ms, TrainError:0.16148828, TrainErrorChange:-3.4986436E-4, TrainAccuracy: 0.944206
Epoch:108, Time:0ms, TrainError:0.16114333, TrainErrorChange:-3.4494698E-4, TrainAccuracy: 0.944206
Epoch:109, Time:0ms, TrainError:0.16080357, TrainErrorChange:-3.3976138E-4, TrainAccuracy: 0.944206
